10-27 19:05:31.981: D/AndroidRuntime(27958): Shutting down VM
10-27 19:05:32.000: E/AndroidRuntime(27958): FATAL EXCEPTION: main
10-27 19:05:32.000: E/AndroidRuntime(27958): Process: com.hoohaa.hoohaalauncher, PID: 27958
10-27 19:05:32.000: E/AndroidRuntime(27958): java.lang.IllegalArgumentException: width and height must be > 0
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:836)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:815)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.graphics.Bitmap.createBitmap(Bitmap.java:746)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.graphics.Bitmap.createScaledBitmap(Bitmap.java:622)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at com.hoohaa.hoohaalauncher.AppItem.setApp(AppItem.java:164)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at com.hoohaa.hoohaalauncher.AppsListAdapter.getView(AppsListAdapter.java:23)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.AbsListView.obtainView(AbsListView.java:2347)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.GridView.onMeasure(GridView.java:1060)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.View.measure(View.java:17565)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.support.v4.widget.DrawerLayout.onMeasure(DrawerLayout.java:960)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.View.measure(View.java:17565)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.ViewGroup.measureChildWithMargins(ViewGroup.java:5537)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.FrameLayout.onMeasure(FrameLayout.java:436)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.support.v7.internal.widget.ContentFrameLayout.onMeasure(ContentFrameLayout.java:124)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.View.measure(View.java:17565)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.ViewGroup.measureChildWithMargins(ViewGroup.java:5537)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.LinearLayout.measureChildBeforeLayout(LinearLayout.java:1436)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.LinearLayout.measureVertical(LinearLayout.java:722)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.LinearLayout.onMeasure(LinearLayout.java:613)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.View.measure(View.java:17565)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.ViewGroup.measureChildWithMargins(ViewGroup.java:5537)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.FrameLayout.onMeasure(FrameLayout.java:436)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.View.measure(View.java:17565)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.ViewGroup.measureChildWithMargins(ViewGroup.java:5537)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.LinearLayout.measureChildBeforeLayout(LinearLayout.java:1436)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.LinearLayout.measureVertical(LinearLayout.java:722)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.LinearLayout.onMeasure(LinearLayout.java:613)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.View.measure(View.java:17565)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.ViewGroup.measureChildWithMargins(ViewGroup.java:5537)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.widget.FrameLayout.onMeasure(FrameLayout.java:436)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at com.android.internal.policy.impl.PhoneWindow$DecorView.onMeasure(PhoneWindow.java:2615)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.View.measure(View.java:17565)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.ViewRootImpl.performMeasure(ViewRootImpl.java:2045)
10-27 19:05:32.000: E/AndroidRuntime(27958): 	at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:1811)
