10-27 21:17:39.482: D/AndroidRuntime(23536): Shutting down VM
10-27 21:17:39.501: E/AndroidRuntime(23536): FATAL EXCEPTION: main
10-27 21:17:39.501: E/AndroidRuntime(23536): Process: com.hoohaa.hoohaalauncher, PID: 23536
10-27 21:17:39.501: E/AndroidRuntime(23536): java.lang.NullPointerException: Attempt to invoke virtual method 'int android.graphics.Bitmap.getWidth()' on a null object reference
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.graphics.Bitmap.createScaledBitmap(Bitmap.java:617)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at com.hoohaa.hoohaalauncher.AppItem.onSizeChanged(AppItem.java:80)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.view.View.sizeChange(View.java:15804)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.view.View.setFrame(View.java:15769)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.view.View.layout(View.java:15685)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.widget.GridView.setupChild(GridView.java:1542)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.widget.GridView.makeAndAddView(GridView.java:1436)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.widget.GridView.makeRow(GridView.java:361)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.widget.GridView.fillDown(GridView.java:302)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.widget.GridView.fillFromTop(GridView.java:437)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.widget.GridView.layoutChildren(GridView.java:1276)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.widget.AbsListView.onLayout(AbsListView.java:2151)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.view.View.layout(View.java:15689)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.view.ViewGroup.layout(ViewGroup.java:5040)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.support.v4.widget.DrawerLayout.onLayout(DrawerLayout.java:1067)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.view.View.layout(View.java:15689)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.view.ViewGroup.layout(ViewGroup.java:5040)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.widget.FrameLayout.layoutChildren(FrameLayout.java:579)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.widget.FrameLayout.onLayout(FrameLayout.java:514)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.view.View.layout(View.java:15689)
10-27 21:17:39.501: E/AndroidRuntime(23536): 	at android.view.ViewGroup.layout(ViewGroup.java:5040)
