10-27 21:25:53.211: D/AndroidRuntime(28430): Shutting down VM
10-27 21:25:53.233: E/AndroidRuntime(28430): FATAL EXCEPTION: main
10-27 21:25:53.233: E/AndroidRuntime(28430): Process: com.hoohaa.hoohaalauncher, PID: 28430
10-27 21:25:53.233: E/AndroidRuntime(28430): java.lang.NullPointerException: Attempt to invoke virtual method 'boolean android.graphics.Bitmap.isRecycled()' on a null object reference
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.graphics.Canvas.throwIfCannotDraw(Canvas.java:1281)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.GLES20Canvas.drawBitmap(GLES20Canvas.java:599)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at com.hoohaa.hoohaalauncher.AppItem.onDraw(AppItem.java:90)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.View.draw(View.java:15249)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.View.updateDisplayListIfDirty(View.java:14185)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.View.getDisplayList(View.java:14207)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.View.draw(View.java:14977)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.ViewGroup.drawChild(ViewGroup.java:3407)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.ViewGroup.dispatchDraw(ViewGroup.java:3200)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.widget.AbsListView.dispatchDraw(AbsListView.java:2603)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.View.draw(View.java:15252)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.widget.AbsListView.draw(AbsListView.java:4110)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.View.updateDisplayListIfDirty(View.java:14185)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.View.getDisplayList(View.java:14207)
10-27 21:25:53.233: E/AndroidRuntime(28430): 	at android.view.View.draw(View.java:14977)
